Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.88.88-192.168.255.255-54915-54915-17,192.168.88.88,54915,192.168.255.255,54915,17,06/04/2023 06:16:07 AM,118991488,120,0,31560.0,0.0,263.0,263.0,263.0,0.0,0,0,0,0,265.22905571195145,1.0084754970036176,999928.4705882351,7426.419712268603,1015827.0,980483.0,1.18991488E8,999928.4705882351,7426.419712268603,1015827.0,980483.0,0,0,0,0,0,0,0,0,0,960,0,1.0084754970036176,0.0,263.0,263.0,263.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,265.19166666666666,263.0,0.0,0,0,0,1578,6,316,1,263,0,0,0,0,119,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/04/2023 06:16:06 AM,108190451,122,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.127641107624184,894135.9586776857,1632007.275568987,1.4020322E7,6586.0,1.08190451E8,894135.9586776857,1632007.275568987,1.4020322E7,6586.0,0,0,0,0,0,0,0,0,0,0,0,1.127641107624184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5429206E7,1.4244945830536809E7,3.777301E7,9842350.0,9230058.0,4370476.452421635,1.4020322E7,5459756.0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,06/04/2023 06:16:07 AM,119962333,179,0,90624.0,0.0,548.0,293.0,506.27932960893844,93.24469540955107,0,0,0,0,755.4371254183594,1.4921350354198264,673945.6910112358,674554.3798494439,2866735.0,4551.0,1.19962333E8,673945.6910112358,674554.3798494439,2866735.0,4551.0,0,0,0,0,0,0,0,0,0,1432,0,1.4921350354198264,0.0,293.0,548.0,506.5111111111112,93.03585473845533,8655.67026691496,0,0,0,0,0,0,0,0,0.0,509.340782122905,506.27932960893855,0.0,0,0,0,3006,6,1647,1,506,0,0,0,0,178,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.99.2-255.255.255.255-39770-5001-17,192.168.99.2,39770,255.255.255.255,5001,17,06/04/2023 06:16:13 AM,100768384,6,0,1644.0,0.0,274.0,274.0,274.0,0.0,0,0,0,0,16.31464090959323,0.059542485071508146,2.01536768E7,34791.828684333195,2.019237E7,2.0096808E7,1.00768384E8,2.01536768E7,34791.828684333195,2.019237E7,2.0096808E7,0,0,0,0,0,0,0,0,0,48,0,0.059542485071508146,0.0,274.0,274.0,274.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,319.6666666666667,274.0,0.0,0,0,0,0,0,0,1,274,0,0,0,0,5,8,0,0,0,0,2.01536768E7,34791.828684333195,2.019237E7,2.0096808E7,NeedManualLabel
192.168.77.95-192.168.255.255-137-137-17,192.168.77.95,137,192.168.255.255,137,17,06/04/2023 06:16:10 AM,2363144,12,0,816.0,0.0,68.0,68.0,68.0,0.0,0,0,0,0,345.3026984390287,5.0779808593974805,214831.27272727274,299078.5136087482,685905.0,12.0,2363144.0,214831.27272727274,299078.5136087482,685905.0,12.0,0,0,0,0,0,0,0,0,0,96,0,5.0779808593974805,0.0,68.0,68.0,68.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,73.66666666666667,68.0,0.0,0,0,0,816,12,345,1,68,0,0,0,0,11,8,0,0,0,0,0,0,0,0,NeedManualLabel
14.0.5.5-14.0.255.255-137-137-17,14.0.5.5,137,14.0.255.255,137,17,06/04/2023 06:17:35 AM,107124593,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,8.401432152932427,0.16802864305864854,6301446.647058825,1.5631528488489877E7,4.7832556E7,761918.0,1.07124593E8,6301446.647058825,1.5631528488489877E7,4.7832556E7,761918.0,0,0,0,0,0,0,0,0,0,144,0,0.16802864305864854,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820227.0,994.1921343482858,3820930.0,3819524.0,4.78319895E7,801.1519830843583,4.7832556E7,4.7831423E7,NeedManualLabel
10.1.0.7-10.1.0.255-137-137-17,10.1.0.7,137,10.1.0.255,137,17,06/04/2023 06:17:35 AM,107124925,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,8.401406115336837,0.16802812230673672,6301466.176470587,1.5631440985400312E7,4.7832E7,761377.0,1.07124925E8,6301466.176470587,1.5631440985400312E7,4.7832E7,761377.0,0,0,0,0,0,0,0,0,0,144,0,0.16802812230673672,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820170.5,1676.5501781933042,3821356.0,3818985.0,4.78317765E7,316.07673119038674,4.7832E7,4.7831553E7,NeedManualLabel
192.168.10.55-192.168.255.255-137-137-17,192.168.10.55,137,192.168.255.255,137,17,06/04/2023 06:17:35 AM,107124923,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,8.40140627218934,0.16802812544378679,6301466.058823531,1.563144123296731E7,4.7832004E7,760976.0,1.07124923E8,6301466.058823531,1.563144123296731E7,4.7832004E7,760976.0,0,0,0,0,0,0,0,0,0,144,0,0.16802812544378679,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820167.5,1679.3786053180504,3821355.0,3818980.0,4.7831777E7,321.02647865869255,4.7832004E7,4.783155E7,NeedManualLabel
10.1.0.7-10.1.0.255-138-138-17,10.1.0.7,138,10.1.0.255,138,17,06/04/2023 06:16:18 AM,0,1,0,201.0,0.0,201.0,201.0,201.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,201.0,201.0,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,402.0,201.0,0.0,0,0,0,0,0,0,1,201,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
14.0.5.5-14.0.255.255-138-138-17,14.0.5.5,138,14.0.255.255,138,17,06/04/2023 06:16:18 AM,0,1,0,201.0,0.0,201.0,201.0,201.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,201.0,201.0,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,402.0,201.0,0.0,0,0,0,0,0,0,1,201,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.88.88-192.168.255.255-54915-54915-17,192.168.88.88,54915,192.168.255.255,54915,17,06/04/2023 06:18:07 AM,119998133,121,0,31823.0,0.0,263.0,263.0,263.0,0.0,0,0,0,0,265.19579267120764,1.0083490215635271,999984.4416666665,6627.890880663354,1016600.0,983336.0,1.19998133E8,999984.4416666665,6627.890880663354,1016600.0,983336.0,0,0,0,0,0,0,0,0,0,968,0,1.0083490215635271,0.0,263.0,263.0,263.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,265.1735537190083,263.0,0.0,0,0,0,1052,4,352,1,263,0,0,0,0,120,8,0,0,0,0,0,0,0,0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,06/04/2023 06:18:09 AM,119399105,194,0,94635.0,0.0,548.0,293.0,487.80927835051546,106.72719431677385,0,0,0,0,792.5938808335288,1.6248027989824545,618648.2124352327,649383.6321215258,2866529.0,822.0,1.19399105E8,618648.2124352327,649383.6321215258,2866529.0,822.0,0,0,0,0,0,0,0,0,0,1552,0,1.6248027989824545,0.0,293.0,548.0,488.1179487179488,106.5389984059244,11350.558181337561,0,0,0,0,0,0,0,0,0.0,490.6340206185567,487.80927835051546,0.0,0,0,0,3620,7,1628,1,487,0,0,0,0,193,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/04/2023 06:18:07 AM,108065687,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7680513797131554,1317874.2317073175,1842125.0328116012,8434725.0,62055.0,1.08065687E8,1317874.2317073175,1842125.0328116012,8434725.0,62055.0,0,0,0,0,0,0,0,0,0,0,0,0.7680513797131554,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.19229376E7,1.3592467318275047E7,3.4061505E7,1631826.0,7250957.666666667,1456672.5130881912,8434725.0,5394064.0,NeedManualLabel
192.168.99.2-255.255.255.255-39770-5001-17,192.168.99.2,39770,255.255.255.255,5001,17,06/04/2023 06:18:14 AM,101047929,6,0,1644.0,0.0,274.0,274.0,274.0,0.0,0,0,0,0,16.26950711676634,0.059377763199877164,2.02095858E7,55706.409009197596,2.0244232E7,2.0112043E7,1.01047929E8,2.02095858E7,55706.409009197596,2.0244232E7,2.0112043E7,0,0,0,0,0,0,0,0,0,48,0,0.059377763199877164,0.0,274.0,274.0,274.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,319.6666666666667,274.0,0.0,0,0,0,0,0,0,1,274,0,0,0,0,5,8,0,0,0,0,2.02095858E7,55706.409009197596,2.0244232E7,2.0112043E7,NeedManualLabel
