Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-51868-8080-6,23.1.1.3,51868,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,21947,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,19319.26914840297,318.950198204766,3657.8333333333335,7986.5718407002805,19926.0,8.0,417.0,208.5,21.920310216782973,224.0,193.0,21762.0,7254.0,10999.4647142486,19926.0,174.0,0,0,0,0,72,92,136.69294208775685,182.25725611700915,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-51868-8080-6,23.1.1.3,51868,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,819,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2442.002442002442,819.0,0.0,819.0,819.0,819.0,819.0,0.0,819.0,819.0,0,0,0,0,0,0,0,0,0,40,0,2442.002442002442,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-40310-8080-6,23.1.1.3,40310,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,24830,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,17478.85622231172,281.9170358437374,4138.333333333333,9469.354522176613,23462.0,3.0,1177.0,588.5,485.78235867515815,932.0,245.0,24137.0,8045.666666666666,13351.773302948688,23462.0,188.0,0,0,0,0,104,136,120.82158679017317,161.09544905356424,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-40310-8080-6,23.1.1.3,40310,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,3521,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,568.0204487361545,3521.0,0.0,3521.0,3521.0,3521.0,3521.0,0.0,3521.0,3521.0,0,0,0,0,0,0,0,0,0,64,0,568.0204487361545,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-36280-8080-6,23.1.1.3,36280,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,29466,6,6,305.0,129.0,305.0,0.0,50.833333333333336,124.51572859147822,72.0,0.0,21.5,29.32405156181526,14728.840019004956,407.24903278354714,2678.727272727273,7650.520584782568,25673.0,2.0,29464.0,5892.8,11331.56911905849,26115.0,244.0,29277.0,5855.4,11123.886137497093,25673.0,237.0,0,0,0,0,200,200,203.62451639177357,203.62451639177357,0.0,305.0,33.38461538461539,84.46354091316408,7134.089743589743,1,2,0,4,11,0,0,0,1.0,36.166666666666664,50.833333333333336,21.5,0,0,0,434,4,16302,0,25,0,10,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-38218-8080-6,23.1.1.3,38218,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,26983,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,16084.20116369566,259.42259941444615,4497.166666666666,9020.627925298031,22681.0,3.0,445.0,222.5,28.991378028648448,243.0,202.0,26784.0,8928.0,12059.393309781384,22681.0,162.0,0,0,0,0,104,136,111.18111403476263,148.2414853796835,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-38218-8080-6,23.1.1.3,38218,23.1.0.3,8080,6,06/04/2023 04:45:24 AM,686,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2915.451895043732,686.0,0.0,686.0,686.0,686.0,686.0,0.0,686.0,686.0,0,0,0,0,0,0,0,0,0,64,0,2915.451895043732,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-51869-8080-6,23.1.1.3,51869,23.1.0.3,8080,6,06/04/2023 04:45:25 AM,22180,3,4,295.0,129.0,295.0,0.0,98.33333333333333,170.31832941093958,112.0,0.0,32.25,53.76724529550185,19116.321009918847,315.5996393146979,3696.6666666666665,8638.434919976342,21329.0,10.0,404.0,202.0,29.698484809834994,223.0,181.0,21967.0,7322.333333333334,12130.63701267717,21329.0,208.0,0,0,0,0,72,92,135.2569882777277,180.34265103697027,0.0,295.0,53.0,105.14343943938135,11055.142857142855,1,2,0,3,6,0,0,0,1.0,60.57142857142857,98.33333333333333,32.25,0,0,0,0,0,0,0,42,0,18,8192,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-51869-8080-6,23.1.1.3,51869,23.1.0.3,8080,6,06/04/2023 04:45:25 AM,1097,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1823.1540565177756,1097.0,0.0,1097.0,1097.0,1097.0,1097.0,0.0,1097.0,1097.0,0,0,0,0,0,0,0,0,0,40,0,1823.1540565177756,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-40312-8080-6,23.1.1.3,40312,23.1.0.3,8080,6,06/04/2023 04:45:25 AM,22913,4,5,305.0,129.0,305.0,0.0,76.25,152.5,112.0,0.0,25.8,48.74628190949541,18941.212412167766,392.79011914633617,2864.1249999999995,7680.141599094567,21870.0,2.0,22670.0,7556.666666666667,12730.870368255792,22257.0,192.0,22724.0,5681.0,10794.548932987736,21870.0,2.0,0,0,0,0,136,168,174.57338628726052,218.21673285907565,0.0,305.0,43.4,98.33186439580791,9669.155555555557,1,2,0,3,8,0,0,0,1.0,48.22222222222222,76.25,25.8,0,0,0,0,0,0,0,33,0,14,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
