Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-55844-4445-6,23.1.1.3,55844,23.1.0.3,4445,6,03/04/2023 03:49:30 PM,71037,5,5,99.0,188.0,99.0,0.0,19.8,44.274145954495836,171.0,0.0,37.6,74.9353054307514,4040.1480918394636,140.7717105170545,7893.0,20192.636535380912,61370.0,2.0,63603.0,15900.75,30836.865127906025,62155.0,240.0,70863.0,17715.75,29279.17006308979,61370.0,529.0,0,0,0,0,168,168,70.38585525852724,70.38585525852724,0.0,171.0,26.090909090909093,56.429521609623,3184.2909090909093,1,2,0,3,9,0,0,0,1.0,28.7,19.8,37.6,0,0,0,0,0,0,0,9,0,18,64240,509,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-55844-4445-6,23.1.1.3,55844,23.1.0.3,4445,6,03/04/2023 03:49:31 PM,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,64,0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,496,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-55846-4445-6,23.1.1.3,55846,23.1.0.3,4445,6,03/04/2023 03:49:31 PM,21482,16,6,100.0,2590.0,100.0,0.0,6.25,25.000000000000004,1448.0,0.0,431.66666666666663,618.9037620395167,125221.11535238803,1024.1132110604226,1022.9523809523807,2092.3474490674457,8953.0,2.0,21482.0,1432.1333333333334,2942.950290019152,10510.0,2.0,19915.0,3983.0,3292.133274944986,8953.0,472.0,0,0,0,0,520,200,744.8096080439437,279.3036030164789,0.0,1448.0,116.95652173913041,352.1758959100964,124027.86166007906,1,2,0,4,21,0,0,0,0.0,122.27272727272727,6.25,431.6666666666667,0,0,0,2690,5,136680,0,4,0,117,64240,509,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.3-23.1.1.3-22775-25942-6,23.1.0.3,22775,23.1.1.3,25942,6,03/04/2023 03:49:30 PM,94754,13,22,13.0,29711.0,13.0,0.0,1.0000000000000002,3.605551275463989,1460.0,0.0,1350.5,363.0830614663944,313696.5194081516,369.3775460666568,2786.8823529411757,10993.335346761045,64890.0,4.0,94453.0,7871.083333333334,18471.281136147707,66399.0,225.0,94533.0,4501.571428571429,13903.888655953157,65151.0,544.0,0,0,0,0,272,452,137.19737425332966,232.18017181332712,0.0,1460.0,825.6666666666666,724.0989277321555,524319.2571428573,1,2,0,2,34,0,0,0,1.0,849.2571428571429,1.0,1350.5,0,0,0,29724,22,315300,0,0,0,848,8192,64227,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.3-23.1.1.3-22775-25942-6,23.1.0.3,22775,23.1.1.3,25942,6,03/04/2023 03:49:31 PM,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,254,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-32992-8080-6,23.1.1.3,32992,23.1.0.3,8080,6,03/04/2023 03:49:30 PM,339559,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,1278.128395948863,20.614974128207468,56593.166666666664,138134.02867999856,338558.0,4.0,729.0,364.5,184.55486988968892,495.0,234.0,339313.0,113104.33333333334,195248.6334147651,338558.0,268.0,0,0,0,0,104,136,8.834988912088916,11.779985216118554,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-32992-8080-6,23.1.1.3,32992,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,237,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8438.818565400845,237.0,0.0,237.0,237.0,237.0,237.0,0.0,237.0,237.0,0,0,0,0,0,0,0,0,0,64,0,8438.818565400845,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35086-8080-6,23.1.1.3,35086,23.1.0.3,8080,6,03/04/2023 03:49:30 PM,326270,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,1330.1866552242009,21.454623471358076,54378.333333333336,132715.18606801057,325282.0,4.0,738.0,369.0,155.56349186104046,479.0,259.0,326034.0,108678.0,187584.61160766892,325282.0,246.0,0,0,0,0,104,136,9.194838630582034,12.259784840776044,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35086-8080-6,23.1.1.3,35086,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,242,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8264.462809917355,242.0,0.0,242.0,242.0,242.0,242.0,0.0,242.0,242.0,0,0,0,0,0,0,0,0,0,64,0,8264.462809917355,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-59290-8080-6,23.1.1.3,59290,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,317126,3,4,305.0,129.0,305.0,0.0,101.66666666666667,176.09183210283587,112.0,0.0,32.25,53.76724529550185,1368.5412107490397,22.07324533466193,52854.333333333336,127990.40079735147,314108.0,4.0,539.0,269.5,24.748737341529164,287.0,252.0,316878.0,105626.0,180554.5707092457,314108.0,204.0,0,0,0,0,104,136,9.459962286283686,12.613283048378246,0.0,305.0,54.25,108.43925225014893,11759.07142857143,1,2,0,3,6,0,0,0,1.0,62.0,101.66666666666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
