Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.3-23.1.0.3-55844-4445-6,23.1.1.3,55844,23.1.0.3,4445,6,03/04/2023 03:49:30 PM,71037,5,5,99,188,99,0,19.8,44.27414595,171,0,37.6,74.93530543,4040.148092,140.7717105,7893,20192.63654,61370,2,63603,15900.75,30836.86513,62155,240,70863,17715.75,29279.17006,61370,529,0,0,0,0,168,168,70.38585526,70.38585526,0,171,26.09090909,56.42952161,3184.290909,1,2,0,3,9,0,0,0,1,28.7,19.8,37.6,0,0,0,0,0,0,0,9,0,18,64240,509,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-55844-4445-6,23.1.1.3,55844,23.1.0.3,4445,6,03/04/2023 03:49:31 PM,4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,64,0,500000,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,496,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-55846-4445-6,23.1.1.3,55846,23.1.0.3,4445,6,03/04/2023 03:49:31 PM,21482,16,6,100,2590,100,0,6.25,25,1448,0,431.6666667,618.903762,125221.1154,1024.113211,1022.952381,2092.347449,8953,2,21482,1432.133333,2942.95029,10510,2,19915,3983,3292.133275,8953,472,0,0,0,0,520,200,744.809608,279.303603,0,1448,116.9565217,352.1758959,124027.8617,1,2,0,4,21,0,0,0,0,122.2727273,6.25,431.6666667,0,0,0,2690,5,136680,0,4,0,117,64240,509,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.3-23.1.1.3-22775-25942-6,23.1.0.3,22775,23.1.1.3,25942,6,03/04/2023 03:49:30 PM,94754,13,22,13,29711,13,0,1,3.605551275,1460,0,1350.5,363.0830615,313696.5194,369.3775461,2786.882353,10993.33535,64890,4,94453,7871.083333,18471.28114,66399,225,94533,4501.571429,13903.88866,65151,544,0,0,0,0,272,452,137.1973743,232.1801718,0,1460,825.6666667,724.0989277,524319.2571,1,2,0,2,34,0,0,0,1,849.2571429,1,1350.5,0,0,0,29724,22,315300,0,0,0,848,8192,64227,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.3-23.1.1.3-22775-25942-6,23.1.0.3,22775,23.1.1.3,25942,6,03/04/2023 03:49:31 PM,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,254,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-32992-8080-6,23.1.1.3,32992,23.1.0.3,8080,6,03/04/2023 03:49:30 PM,339559,3,4,305,129,305,0,101.6666667,176.0918321,112,0,32.25,53.7672453,1278.128396,20.61497413,56593.16667,138134.0287,338558,4,729,364.5,184.5548699,495,234,339313,113104.3333,195248.6334,338558,268,0,0,0,0,104,136,8.834988912,11.77998522,0,305,54.25,108.4392523,11759.07143,1,2,0,3,6,0,0,0,1,62,101.6666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-32992-8080-6,23.1.1.3,32992,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,237,2,0,0,0,0,0,0,0,0,0,0,0,0,8438.818565,237,0,237,237,237,237,0,237,237,0,0,0,0,0,0,0,0,0,64,0,8438.818565,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35086-8080-6,23.1.1.3,35086,23.1.0.3,8080,6,03/04/2023 03:49:30 PM,326270,3,4,305,129,305,0,101.6666667,176.0918321,112,0,32.25,53.7672453,1330.186655,21.45462347,54378.33333,132715.1861,325282,4,738,369,155.5634919,479,259,326034,108678,187584.6116,325282,246,0,0,0,0,104,136,9.194838631,12.25978484,0,305,54.25,108.4392523,11759.07143,1,2,0,3,6,0,0,0,1,62,101.6666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-35086-8080-6,23.1.1.3,35086,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,242,2,0,0,0,0,0,0,0,0,0,0,0,0,8264.46281,242,0,242,242,242,242,0,242,242,0,0,0,0,0,0,0,0,0,64,0,8264.46281,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.3-23.1.0.3-59290-8080-6,23.1.1.3,59290,23.1.0.3,8080,6,03/04/2023 03:49:31 PM,317126,3,4,305,129,305,0,101.6666667,176.0918321,112,0,32.25,53.7672453,1368.541211,22.07324533,52854.33333,127990.4008,314108,4,539,269.5,24.74873734,287,252,316878,105626,180554.5707,314108,204,0,0,0,0,104,136,9.459962286,12.61328305,0,305,54.25,108.4392523,11759.07143,1,2,0,3,6,0,0,0,1,62,101.6666667,32.25,0,0,0,0,0,0,0,43,0,18,64240,507,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
