Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.88.88-192.168.255.255-54915-54915-17,192.168.88.88,54915,192.168.255.255,54915,17,03/04/2023 03:24:00 PM,119002164,120,0,31560.0,0.0,263.0,263.0,263.0,0.0,0,0,0,0,265.20526130936577,1.0083850239899839,1000018.1848739495,5941.855421237363,1018303.0,984581.0,1.19002164E8,1000018.1848739495,5941.855421237363,1018303.0,984581.0,0,0,0,0,0,0,0,0,0,960,0,1.0083850239899839,0.0,263.0,263.0,263.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,265.19166666666666,263.0,0.0,0,0,0,1139,4,342,1,263,0,0,0,0,119,8,0,0,0,0,0,0,0,0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,03/04/2023 03:24:00 PM,119742023,178,0,90076.0,0.0,548.0,293.0,506.04494382022494,93.45483335946525,0,0,0,0,752.2505277867236,1.486529085950051,676508.6045197743,513819.1617992585,1942649.0,15809.0,1.19742023E8,676508.6045197743,513819.1617992585,1942649.0,15809.0,0,0,0,0,0,0,0,0,0,1424,0,1.486529085950051,0.0,293.0,548.0,504.89385474860325,94.45589254345663,8921.915636181026,0,0,0,0,0,0,0,0,0.0,507.7303370786517,506.0449438202247,0.0,0,0,0,4314,8,1262,1,506,0,0,0,0,177,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03/04/2023 03:24:03 PM,119559438,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2509212196196506,4122739.24137931,7545482.371122839,3.790487E7,598731.0,1.19559438E8,4122739.24137931,7545482.371122839,3.790487E7,598731.0,0,0,0,0,0,0,0,0,0,0,0,0.2509212196196506,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4458118.0,3774622.6102563418,1.1813892E7,1598457.0,1.3118245142857144E7,1.1777889145035759E7,3.790487E7,5003497.0,NeedManualLabel
192.168.99.2-255.255.255.255-39770-5001-17,192.168.99.2,39770,255.255.255.255,5001,17,03/04/2023 03:24:16 PM,101167048,6,0,1644.0,0.0,274.0,274.0,274.0,0.0,0,0,0,0,16.25035060823362,0.0593078489351592,2.02334096E7,18372.82428751769,2.0244198E7,2.0200853E7,1.01167048E8,2.02334096E7,18372.82428751769,2.0244198E7,2.0200853E7,0,0,0,0,0,0,0,0,0,48,0,0.0593078489351592,0.0,274.0,274.0,274.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,319.6666666666667,274.0,0.0,0,0,0,0,0,0,1,274,0,0,0,0,5,8,0,0,0,0,2.02334096E7,18372.82428751769,2.0244198E7,2.0200853E7,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.55-239.255.255.250-50568-1900-17,192.168.10.55,50568,239.255.255.250,1900,17,03/04/2023 03:25:16 PM,6017986,6,0,744.0,0.0,125.0,123.0,124.0,1.0954451150103317,0,0,0,0,123.62940026779724,0.9970112924822359,1203597.2,1646762.5119633067,3011128.0,965.0,6017986.0,1203597.2,1646762.5119633067,3011128.0,965.0,0,0,0,0,0,0,0,0,0,48,0,0.9970112924822359,0.0,123.0,125.0,124.14285714285714,1.0690449676496983,1.1428571428571443,0,0,0,0,0,0,0,0,0.0,144.83333333333334,124.0,0.0,0,0,0,0,0,0,1,124,0,0,0,0,5,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.99.2-255.255.255.255-39770-5001-17,192.168.99.2,39770,255.255.255.255,5001,17,03/04/2023 03:26:17 PM,80664473,5,0,1370.0,0.0,274.0,274.0,274.0,0.0,0,0,0,0,16.98393293910195,0.06198515671205092,2.016611825E7,4261.592532923188,2.0168567E7,2.0159738E7,8.0664473E7,2.016611825E7,4261.592532923188,2.0168567E7,2.0159738E7,0,0,0,0,0,0,0,0,0,40,0,0.06198515671205092,0.0,274.0,274.0,274.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,328.8,274.0,0.0,0,0,0,0,0,0,1,274,0,0,0,0,4,8,0,0,0,0,2.016611825E7,4261.592532923188,2.0168567E7,2.0159738E7,NeedManualLabel
10.1.0.7-10.1.0.255-137-137-17,10.1.0.7,137,10.1.0.255,137,17,03/04/2023 03:24:27 PM,116673353,24,0,1200.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,10.285124830517212,0.20570249661034426,5072754.478260867,1.1949280705715245E7,4.7815383E7,755105.0,1.16673353E8,5072754.478260867,1.1949280705715245E7,4.7815383E7,755105.0,0,0,0,0,0,0,0,0,0,192,0,0.20570249661034426,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.083333333333336,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,23,8,3820613.3333333335,254.24463285059397,3820906.0,3820447.0,3.3796805666666664E7,1.2140454845446333E7,4.7815383E7,2.6771361E7,NeedManualLabel
192.168.10.55-239.255.255.250-1900-1900-17,192.168.10.55,1900,239.255.255.250,1900,17,03/04/2023 03:26:10 PM,6035166,18,0,8643.0,0.0,515.0,435.0,480.1666666666667,30.86069268407915,0,0,0,0,1432.1064242474854,2.9825194534831354,355009.76470588235,994571.6570834356,2998314.0,2467.0,6035166.0,355009.76470588235,994571.6570834356,2998314.0,2467.0,0,0,0,0,0,0,0,0,0,144,0,2.9825194534831354,0.0,435.0,515.0,481.99999999999994,31.03761159195942,963.3333333333337,0,0,0,0,0,0,0,0,0.0,508.77777777777777,480.1666666666667,0.0,0,0,0,2881,6,214455,1,480,0,0,0,0,17,8,0,0,0,0,0,0,0,0,NeedManualLabel
14.1.77.5-14.1.255.255-138-138-17,14.1.77.5,138,14.1.255.255,138,17,03/04/2023 03:26:55 PM,0,1,0,201.0,0.0,201.0,201.0,201.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,201.0,201.0,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,402.0,201.0,0.0,0,0,0,0,0,0,1,201,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
