Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.22-23.1.1.7-49399-47717-6,23.1.0.22,49399,23.1.1.7,47717,6,03/04/2023 03:14:15 PM,311961,22,21,105,0,5,0,4.772727273,1.066003582,0,0,0,0,336.5805341,137.8377425,7427.642857,38903.49627,253439,1,311961,14855.28571,54973.05696,254768,2151,54958,2747.9,1528.534864,5214,1,0,0,0,0,440,420,70.52163572,67.31610682,0,5,2.5,2.528902694,6.395348837,1,21,21,0,21,0,0,0,0,2.558139535,4.772727273,0,0,0,0,105,21,1835,0,2,0,0,8192,0,20,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.22-47717-49399-6,23.1.1.7,47717,23.1.0.22,49399,6,03/04/2023 03:14:15 PM,2581,1,1,0,0,0,0,0,0,0,0,0,0,0,774.8934522,2581,0,2581,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,387.4467261,387.4467261,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.20-23.1.1.7-42972-45951-6,23.1.0.20,42972,23.1.1.7,45951,6,03/04/2023 03:14:15 PM,448350,22,21,21000,0,1000,0,954.5454545,213.2007164,0,0,0,0,46838.40749,95.90721535,10675,66188.53351,429408,2,448350,21350,93553.75738,429652,861,17814,890.7,699.1225403,1876,2,0,0,0,0,440,420,49.06880785,46.83840749,0,1000,500,505.7805389,255813.9535,1,21,21,0,21,0,0,0,0,511.627907,954.5454545,0,0,0,0,21000,21,1123114,0,488,0,0,8192,0,20,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.22-47717-49399-6,23.1.1.7,47717,23.1.0.22,49399,6,03/04/2023 03:14:15 PM,1012,1,1,0,0,0,0,0,0,0,0,0,0,0,1976.284585,1012,0,1012,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,988.1422925,988.1422925,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.20-45951-42972-6,23.1.1.7,45951,23.1.0.20,42972,6,03/04/2023 03:14:15 PM,3538,1,1,0,0,0,0,0,0,0,0,0,0,0,565.2911249,3538,0,3538,3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,282.6455625,282.6455625,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.22-47717-49399-6,23.1.1.7,47717,23.1.0.22,49399,6,03/04/2023 03:14:15 PM,2591,1,1,0,0,0,0,0,0,0,0,0,0,0,771.9027403,2591,0,2591,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,385.9513701,385.9513701,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.20-45951-42972-6,23.1.1.7,45951,23.1.0.20,42972,6,03/04/2023 03:14:15 PM,3827,1,1,0,0,0,0,0,0,0,0,0,0,0,522.6025608,3827,0,3827,3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,261.3012804,261.3012804,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.29-23.1.1.7-48602-48037-6,23.1.0.29,48602,23.1.1.7,48037,6,03/04/2023 03:14:15 PM,308499,22,21,21000,0,1000,0,954.5454545,213.2007164,0,0,0,0,68071.53346,139.3845685,7345.214286,8140.534259,28135,215,308499,14690.42857,10837.02097,52898,6985,275173,13758.65,7116.192146,26770,4987,0,0,0,0,440,420,71.31303505,68.07153346,0,1000,500,505.7805389,255813.9535,1,21,21,0,21,0,0,0,0,511.627907,954.5454545,0,0,0,0,21000,21,82159,0,488,0,0,8192,0,20,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.20-45951-42972-6,23.1.1.7,45951,23.1.0.20,42972,6,03/04/2023 03:14:15 PM,4,1,1,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,250000,250000,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.27-23.1.1.7-46274-46686-6,23.1.0.27,46274,23.1.1.7,46686,6,03/04/2023 03:14:15 PM,476947,22,21,21000,0,1000,0,954.5454545,213.2007164,0,0,0,0,44030.04946,90.15676794,11355.88095,64466.39117,419160,4,476947,22711.7619,91287.4265,421114,2182,56070,2803.5,1769.860015,7065,4,0,0,0,0,440,420,46.12671848,44.03004946,0,1000,500,505.7805389,255813.9535,1,21,21,0,21,0,0,0,0,511.627907,954.5454545,0,0,0,0,21000,21,376121,0,488,0,0,8192,0,20,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.29-48037-48602-6,23.1.1.7,48037,23.1.0.29,48602,6,03/04/2023 03:14:15 PM,1313,1,1,0,0,0,0,0,0,0,0,0,0,0,1523.229246,1313,0,1313,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,761.614623,761.614623,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.0.22-23.1.1.7-49399-47717-6,23.1.0.22,49399,23.1.1.7,47717,6,03/04/2023 03:14:15 PM,28338,2,2,0,0,0,0,0,0,0,0,0,0,0,141.1532218,9446,15249.65268,27039,4,28338,28338,0,28338,28338,27039,27039,0,27039,27039,0,0,0,0,40,40,70.57661091,70.57661091,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.20-45951-42972-6,23.1.1.7,45951,23.1.0.20,42972,6,03/04/2023 03:14:15 PM,1296,1,1,0,0,0,0,0,0,0,0,0,0,0,1543.209877,1296,0,1296,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,771.6049383,771.6049383,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.27-46686-46274-6,23.1.1.7,46686,23.1.0.27,46274,6,03/04/2023 03:14:15 PM,1550,1,1,0,0,0,0,0,0,0,0,0,0,0,1290.322581,1550,0,1550,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,645.1612903,645.1612903,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.29-48037-48602-6,23.1.1.7,48037,23.1.0.29,48602,6,03/04/2023 03:14:15 PM,4,1,1,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,250000,250000,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.1.1.7-23.1.0.20-45951-42972-6,23.1.1.7,45951,23.1.0.20,42972,6,03/04/2023 03:14:15 PM,1361,1,1,0,0,0,0,0,0,0,0,0,0,0,1469.507715,1361,0,1361,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,734.7538575,734.7538575,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
