Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,09/04/2023 07:48:00 AM,119648024,191,0,93983.0,0.0,548.0,293.0,492.0575916230366,104.06198472904569,0,0,0,0,785.4956300824491,1.5963489710452718,629726.4421052631,631032.9339925642,2401302.0,4175.0,1.19648024E8,629726.4421052631,631032.9339925642,2401302.0,4175.0,0,0,0,0,0,0,0,0,0,1528,0,1.5963489710452718,0.0,293.0,548.0,491.0572916666668,104.71063017768385,10964.316072207677,0,0,0,0,0,0,0,0,0.0,493.6282722513089,492.05759162303667,0.0,0,0,0,2642,5,1856,1,492,0,0,0,0,190,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.88.88-192.168.255.255-54915-54915-17,192.168.88.88,54915,192.168.255.255,54915,17,09/04/2023 07:48:01 AM,119103572,120,0,31560.0,0.0,263.0,263.0,263.0,0.0,0,0,0,0,264.9794583826588,1.0075264577287404,1000870.3529411764,5044.492760759988,1019831.0,984965.0,1.19103572E8,1000870.3529411764,5044.492760759988,1019831.0,984965.0,0,0,0,0,0,0,0,0,0,960,0,1.0075264577287404,0.0,263.0,263.0,263.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,265.19166666666666,263.0,0.0,0,0,0,1315,5,329,1,263,0,0,0,0,119,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/04/2023 07:48:01 AM,113206239,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.46817207662909816,2177043.0576923075,3888429.5861080936,1.9720957E7,28231.0,1.13206239E8,2177043.0576923075,3888429.5861080936,1.9720957E7,28231.0,0,0,0,0,0,0,0,0,0,0,0,0.46817207662909816,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4810647.0,4532186.550704196,1.1792335E7,1787695.0,1.0695554714285715E7,5186234.883327908,1.9720957E7,5831510.0,NeedManualLabel
192.168.99.2-255.255.255.255-39770-5001-17,192.168.99.2,39770,255.255.255.255,5001,17,09/04/2023 07:48:02 AM,100588399,6,0,1644.0,0.0,274.0,274.0,274.0,0.0,0,0,0,0,16.343833049773465,0.05964902572910023,2.01176798E7,44354.06009825962,2.0167982E7,2.008382E7,1.00588399E8,2.01176798E7,44354.06009825962,2.0167982E7,2.008382E7,0,0,0,0,0,0,0,0,0,48,0,0.05964902572910023,0.0,274.0,274.0,274.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,319.6666666666667,274.0,0.0,0,0,0,0,0,0,1,274,0,0,0,0,5,8,0,0,0,0,2.01176798E7,44354.06009825962,2.0167982E7,2.008382E7,NeedManualLabel
14.0.5.5-14.0.255.255-137-137-17,14.0.5.5,137,14.0.255.255,137,17,09/04/2023 07:48:09 AM,86096674,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,10.453365480761779,0.20906730961523556,5064510.235294117,1.2696139160472404E7,4.7832556E7,762717.0,8.6096674E7,5064510.235294117,1.2696139160472404E7,4.7832556E7,762717.0,0,0,0,0,0,0,0,0,0,144,0,0.20906730961523556,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820328.0,33.94112549695428,3820352.0,3820304.0,3.7317752E7,1.487017842249487E7,4.7832556E7,2.6802948E7,NeedManualLabel
10.1.0.7-10.1.0.255-137-137-17,10.1.0.7,137,10.1.0.255,137,17,09/04/2023 07:48:09 AM,86097248,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,10.45329578943104,0.2090659157886208,5064544.0,1.2695939147457961E7,4.7831873E7,762362.0,8.6097248E7,5064544.0,1.2695939147457961E7,4.7831873E7,762362.0,0,0,0,0,0,0,0,0,0,144,0,0.2090659157886208,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820784.0,291.3279938488576,3820990.0,3820578.0,3.7317295E7,1.4869858810229773E7,4.7831873E7,2.6802717E7,NeedManualLabel
192.168.10.55-192.168.255.255-137-137-17,192.168.10.55,137,192.168.255.255,137,17,09/04/2023 07:48:09 AM,86097251,18,0,900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,10.453295425193076,0.20906590850386153,5064544.176470587,1.2695963324637001E7,4.7831869E7,761857.0,8.6097251E7,5064544.176470587,1.2695963324637001E7,4.7831869E7,761857.0,0,0,0,0,0,0,0,0,0,144,0,0.20906590850386153,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.77777777777778,50.0,0.0,0,0,0,300,6,78,1,50,0,0,0,0,17,8,3820787.5,292.03510063004416,3820994.0,3820581.0,3.7317391E7,1.4869717388873536E7,4.7831869E7,2.6802913E7,NeedManualLabel
192.168.88.88-192.168.255.255-54915-54915-17,192.168.88.88,54915,192.168.255.255,54915,17,09/04/2023 07:50:01 AM,119080910,120,0,31560.0,0.0,263.0,263.0,263.0,0.0,0,0,0,0,265.0298859825643,1.0077181976523357,1000679.9159663868,6587.358093643888,1022322.0,982303.0,1.1908091E8,1000679.9159663868,6587.358093643888,1022322.0,982303.0,0,0,0,0,0,0,0,0,0,960,0,1.0077181976523357,0.0,263.0,263.0,263.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,265.19166666666666,263.0,0.0,0,0,0,1315,5,329,1,263,0,0,0,0,119,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/04/2023 07:50:01 AM,113196856,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9010850972751399,1120760.9504950496,979325.3201519644,5721259.0,762.0,1.13196856E8,1120760.9504950496,979325.3201519644,5721259.0,762.0,0,0,0,0,0,0,0,0,0,0,0,0.9010850972751399,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3189339.0,0.0,3189339.0,3189339.0,5721259.0,0.0,5721259.0,5721259.0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,09/04/2023 07:50:01 AM,119212422,187,0,92280.0,0.0,548.0,293.0,493.47593582887697,103.17071773738647,0,0,0,0,774.0804058154275,1.5686284773242842,640926.9999999998,611584.3272425778,2298084.0,1211.0,1.19212422E8,640926.9999999998,611584.3272425778,2298084.0,1211.0,0,0,0,0,0,0,0,0,0,1496,0,1.5686284773242842,0.0,293.0,548.0,492.44680851063816,103.8575347765721,10786.387529866883,0,0,0,0,0,0,0,0,0.0,495.0802139037433,493.475935828877,0.0,0,0,0,3047,6,1642,1,493,0,0,0,0,186,8,0,0,0,0,0,0,0,0,NeedManualLabel
